plateid, locationid, ra, dec, apgver, vdone, vplan, SN, history
8721, 2296, 134.674560547, 55.1120948792, 100, 1, 1, 0, 57364,
8722, 2297, 125.781349182, 50.3793182373, 100, 3, 1, 0, 58109,58111,58112,
8723, 2298, 128.005096436, 54.6007118225, 100, 1, 1, 0, 58101,
8724, 2299, 131.162643433, 54.8291931152, 100, 2, 1, 0, 57427,57428,
8725, 2300, 126.752868652, 46.0059967041, 100, 3, 1, 0, 57365,57366,57367,
8726, 2301, 116.286621094, 22.4758663177, 100, 2, 1, 0, 57340,57425,
8727, 2302, 55.7222119141, -6.34539108221, 100, 4, 1, 0, 57687,57688,57689,57691,
8728, 2303, 58.6422119141, -5.8904210421, 100, 4, 1, 0, 57335,57336,57338,57339,
8773, 5148, 68.3459, 0.5336, 100, 3, 3, 0, 57348,57358,57406,
8774, 5114, 80.0, 24.5, 321, 7, 6, 0, 57357,57359,57409,57410,57415,57679,58060,
8775, 5091, 97.3917, -31.3333, 200, 7, 3, 0, 58527,58531,58767,58769,58772,58773,58775,
8776, 5160, 65.8036, 18.3969, 110, 1, 1, 0, 57348,
8777, 5160, 65.8036, 18.3969, 210, 1, 1, 0, 57357,
8778, 5161, 63.3794, 23.6181, 110, 1, 1, 0, 57349,
8779, 5161, 63.3794, 23.6181, 210, 2, 1, 0, 57356,57357,
8780, 5162, 59.2245, 25.0342, 110, 2, 1, 0, 57345,57346,
8781, 5162, 59.2245, 25.0342, 210, 2, 1, 0, 57347,57348,
8782, 5159, 100.84113, -0.885629, 100, 3, 3, 0, 57349,57350,57377,
8794, 5127, 126.5, 0.1666, 111, 6, 6, 0, 57389,57405,57409,57412,57415,57418,
8795, 5127, 126.5, 0.1666, 211, 6, 6, 0, 57391,57410,57413,57416,57433,57436,
8796, 5098, 193.8819, 42.105, 321, 9, 6, 0, 57405,57409,57410,57414,57417,57440,57443,57462,57465,
8797, 5098, 193.8819, 42.105, 421, 6, 6, 0, 57412,57415,57418,57446,57473,57502,
8798, 5124, 177.5858, 34.449, 321, 3, 3, 0, 57416,
8799, 5124, 177.5858, 34.449, 421, 6, 3, 0, 57469,57492,57736,57796,57801,
8801, 5165, 178.6976, 19.6108, 111, 6, 6, 0, 57390,57411,57414,57417,57446,57464,
8802, 5165, 178.6976, 19.6108, 211, 6, 6, 0, 57414,57466,57475,57476,57495,57498,
8803, 5166, 103.3465, -0.9506, 100, 5, 3, 0, 57377,57406,57408,57412,57415,
8804, 5107, 100.0678, 23.1189, 200, 3, 3, 0, 57445,57465,57472,
8805, 5086, 85.196, 15.4097, 200, 3, 3, 0, 57404,57410,57443,
8806, 5167, 30.4144, -2.2823, 100, 4, 3, 0, 57652,57653,57656,57673,
8807, 5168, 39.1804, 27.2798, 100, 3, 3, 0, 57677,57680,57709,
8808, 5150, 48.5932, 48.3652, 200, 3, 3, 0, 57375,57378,57406,
8809, 5149, 65.9356, 60.9641, 200, 3, 3, 0, 57375,57378,57405,
8810, 5101, 53.4661, 63.3537, 200, 4, 3, 0, 57374,57378,57404,57407,
8811, 5100, 41.8621, 52.9838, 200, 3, 3, 0, 57374,57377,57405,
8812, 5155, 96.2087, -4.5822, 200, 3, 3, 0, 57375,57405,57408,
8813, 5116, 138.75, 22.3166, 211, 6, 6, 0, 57378,57435,57680,57738,57762,57796,
8814, 5151, 87.9844, 42.4485, 200, 3, 3, 0, 57377,57389,57405,
8815, 5114, 80.0, 24.5, 421, 8, 6, 0, 57684,57685,57710,57760,57765,57792,58176,58500,
8816, 5124, 177.5858, 34.449, 321, 3, 3, 0, 57468,57474,
8817, 5124, 177.5858, 34.449, 421, 6, 3, 0, 58067,
8879, 5169, 84.14, 10.34, 110, 2, 1, 0, 57406,57411,
8880, 5169, 84.14, 10.34, 210, 3, 1, 0, 57413,57648,57649,
8881, 5169, 84.14, 10.34, 310, 1, 1, 0, 57650,
8882, 5169, 84.14, 10.34, 410, 2, 1, 0, 57651,57655,
8883, 5169, 84.14, 10.34, 510, 2, 1, 0, 57656,57675,
8884, 5169, 84.14, 10.34, 610, 2, 1, 0, 57676,57677,
8885, 5170, 82.34, 11.73, 110, 1, 1, 0, 57409,
8886, 5170, 82.34, 11.73, 210, 2, 1, 0, 57411,57413,
8887, 5170, 82.34, 11.73, 310, 1, 1, 0, 57678,
8888, 5171, 57.5, 24.1, 100, 3, 3, 0, 57408,57649,57652,
8889, 5123, 159.5217, 24.6866, 321, 6, 6, 0, 57391,57413,57416,57467,57471,57474,
8890, 5172, 86.654, 0.134, 110, 1, 1, 0, 57433,
8891, 5172, 86.654, 0.134, 210, 1, 1, 0, 57443,
8892, 5172, 86.654, 0.134, 310, 2, 1, 0, 57675,57677,
8893, 5172, 86.654, 0.134, 410, 2, 1, 0, 57677,57678,
8894, 5173, 85.416, -2.12, 110, 1, 1, 0, 57433,
8895, 5173, 85.416, -2.12, 210, 1, 1, 0, 57434,
8896, 5173, 85.416, -2.12, 310, 1, 1, 0, 57435,
8897, 5173, 85.416, -2.12, 410, 1, 1, 0, 57436,
8898, 5173, 85.416, -2.12, 510, 1, 1, 0, 57654,
