plateid, locationid, ra, dec, apgver, vdone, vplan, SN, history
10033, 5460, 337.95648, -17.50931, 100, 1, 1, 0, 58032,
10034, 5461, 335.9431, -11.96321, 100, 4, 1, 0, 58061,58060,58056,58059,
10035, 5462, 336.53707, -7.62208, 100, 4, 1, 0, 58055,58053,58062,58054,
10036, 5463, 11.24734, 2.2523, 100, 2, 1, 0, 58032,58057,
10037, 5464, 12.92467, 10.18595, 100, 1, 1, 0, 58029,
10038, 5465, 18.91586, 7.29296, 100, 2, 1, 0, 58031,58805,
10039, 5466, 14.40217, 3.61802, 100, 2, 1, 0, 58063,58062,
10040, 5454, 64.24829, 14.58294, 200, 1, 1, 0, 59201,
10041, 5467, 60.10178, 15.77055, 100, 1, 1, 0, 58355,
10042, 5468, 271.44705, -25.61059, 110, 2, 1, 0, 58712,58026,
10043, 5468, 271.44705, -25.61059, 210, 2, 1, 0, 58713,58212,
10044, 5468, 271.44705, -25.61059, 310, 3, 1, 0, 58238,58240,58236,
10045, 5468, 271.44705, -25.61059, 420, 1, 1, 0, 58265,
10046, 5468, 271.44705, -25.61059, 520, 2, 1, 0, 58271,58272,
10047, 5468, 271.44705, -25.61059, 620, 1, 1, 0, 58274,
10048, 5469, 288.18282, -11.55034, 110, 3, 1, 0, 58657,58617,58025,
10049, 5470, 271.82578, -20.26189, 110, 2, 1, 0, 58029,58708,
10050, 5470, 271.82578, -20.26189, 210, 2, 1, 0, 58207,58206,
10051, 5470, 271.82578, -20.26189, 310, 2, 1, 0, 58235,58210,
10052, 5471, 274.6006, -32.75823, 110, 9, 9, 0, 58272,58053,58241,58275,58298,58295,58030,58292,58027,
10053, 5361, 270.30586, -47.88549, 200, 3, 3, 0, 58208,58211,58027,
10054, 5472, 270.93959, -29.40852, 110, 2, 1, 0, 58213,58712,
10055, 5472, 270.93959, -29.40852, 210, 3, 1, 0, 58713,58236,58235,
10056, 5472, 270.93959, -29.40852, 310, 1, 1, 0, 58273,
10057, 5473, 115.99918, -24.22684, 100, 3, 3, 0, 58028,58060,58055,
10058, 5473, 115.99918, -24.22684, 200, 3, 3, 0, 58094,58056,58091,
10059, 5474, 108.65844, -10.5482, 100, 5, 3, 0, 58058,58090,58027,58030,58054,
10060, 5475, 122.81875, -33.14427, 110, 5, 3, 0, 58055,58032,58052,58025,58062,
10061, 5475, 122.81875, -33.14427, 210, 4, 3, 0, 58089,58053,58063,58033,
10062, 5476, 119.79518, -22.09431, 100, 3, 3, 0, 58053,58057,58089,
10063, 5477, 111.79851, -25.92839, 100, 3, 3, 0, 58092,58061,58029,
10064, 5481, 62.57574, -71.9496, 100, 2, 3, 0, 58054,58058,
10065, 5482, 62.59437, -68.44995, 100, 3, 3, 0, 58032,58055,58029,
10066, 5483, 71.52181, -75.33295, 100, 5, 9, 0, 58055,58061,58052,58058,58027,
10067, 5484, 73.18395, -68.80377, 100, 2, 3, 0, 58056,58053,
10068, 5485, 73.91166, -71.30492, 100, 1, 6, 0, 58031,
10069, 5486, 77.76021, -65.67992, 100, 3, 3, 0, 58031,58054,58028,
10070, 5228, 78.5258, -62.5661, 100, 2, 3, 0, 58059,58063,
10071, 5487, 79.93246, -72.81782, 100, 5, 3, 0, 58061,58052,58026,58057,58029,
10073, 5489, 82.84366, -76.16799, 100, 2, 3, 0, 58060,58055,
10074, 5490, 85.37926, -63.57865, 100, 2, 3, 0, 58063,58056,
10080, 5496, 98.19632, -70.30972, 100, 1, 9, 0, 58062,
10081, 5497, 5.07043, -77.22261, 100, 5, 12, 0, 58025,58061,58028,58053,58056,
10082, 5498, 10.49422, -67.75707, 100, 3, 3, 0, 58052,58024,58027,
10083, 5499, 11.25066, -73.22922, 100, 4, 3, 0, 58054,58028,58057,58025,
10084, 5500, 16.98435, -75.59318, 100, 6, 6, 0, 58058,58033,58061,58030,58026,58055,
10085, 5501, 20.17171, -73.08001, 100, 3, 12, 0, 58027,58056,58059,
10086, 5502, 24.62484, -71.15311, 100, 3, 3, 0, 58052,58024,58057,
10087, 5503, 31.84894, -73.40826, 100, 5, 12, 0, 58062,58030,58027,58058,58053,
10088, 5478, 11.0, 41.25, 110, 10, 10, 0, 58055,58086,58114,58087,58063,58058,58061,58083,58091,
10104, 5505, 62.59437, -68.44995, 100, 9, 9, 0, 58448,58442,58119,58094,58417,58115,58481,58384,58445,
